"고유번호","읍면동코드","읍면동명 한글","읍면동명 영문","위도","경도"
"239","11110181","행촌동","Haengchon-dong","37.5744857","126.9626524"
"241","11500102","등촌동","Deungchon-dong","37.5519877","126.8527944"
"242","11140170","충정로1가","Chungjeongno 1(il)-ga","37.5668791","126.9680887"
"243","11680114","일원동","Irwon-dong","37.487919","127.0852159"
"244","11680111","세곡동","Segok-dong","37.4644483","127.1066382"
"245","11680107","신사동","Sinsa-dong","37.522901","127.0246551"
"225","11410117","연희동","Yeonhui-dong","37.5725293","126.9312651"
"226","11740109","천호동","Cheonho-dong","37.5431857","127.1265646"
"253","11440109","염리동","Yeomni-dong","37.5492254","126.9472148"
"254","11650102","양재동","Yangjae-dong","37.468455","127.0362469"
"256","11410102","충정로3가","Chungjeongno 3(sam)-ga","37.5622877","126.9621682"
"257","11740101","명일동","Myeongil-dong","37.5485893","127.1517553"
"258","11440125","성산동","Seongsan-dong","37.5662175","126.9039251"
"259","11110184","부암동","Buam-dong","37.5934957","126.9672855"
"261","11410111","홍제동","Hongje-dong","37.5873266","126.9472803"
"326","11740108","성내동","Seongnae-dong","37.5304064","127.1288445"
"280","11440115","상수동","Sangsu-dong","37.5470257","126.9243738"
"263","11350102","월계동","Wolgye-dong","37.6295557","127.0562535"
"264","11440102","공덕동","Gongdeok-dong","37.5473874","126.9555578"
"248","11680115","수서동","Suseo-dong","37.4855136","127.0984645"
"249","11500113","오쇠동","Osoe-dong","37.5435569","126.7978766"
"250","11140104","을지로1가","Euljiro 1(il)-ga","37.5659055","126.980572"
"251","11440101","아현동","Ahyeon-dong","37.554422","126.9559629"
"252","11650111","신원동","Sinwon-dong","37.4451504","127.0596524"
"265","11410118","홍은동","Hongeun-dong","37.5933419","126.9395754"
"266","11440127","상암동","Sangam-dong","37.5715459","126.8778772"
"267","11410105","냉천동","Naengcheon-dong","37.5674955","126.9620155"
"268","11410114","신촌동","Sinchon-dong","37.5651557","126.9433454"
"269","11410120","남가좌동","Namgajwa-dong","37.5766943","126.9185077"
"270","11440120","서교동","Seogyo-dong","37.5536496","126.9200806"
"271","11650104","원지동","Wonji-dong","37.4449934","127.0495943"
"273","11140147","쌍림동","Ssangnim-dong","37.5637681","127.0045499"
"274","11140105","을지로2가","Euljiro 2(i)-ga","37.5657158","126.9862633"
"275","11140160","인현동1가","Inhyeon-dong 1(il)-ga","37.5645365","126.9945524"
"276","11110185","홍지동","Hongji-dong","37.6005798","126.9567853"
"277","11440108","대흥동","Daeheung-dong","37.5498968","126.9427936"
"282","11140103","태평로1가","Taepyeongno 1(il)-ga","37.5675677","126.9773829"
"279","11410101","충정로2가","Chungjeongno 2(i)-ga","37.5649689","126.9639848"
"283","11140159","초동","Cho-dong","37.564601","126.992348"
"285","11620103","남현동","Namhyeon-dong","37.4630565","126.9776247"
"284","11140127","명동2가","Myeong-dong 2(i)-ga","37.5630105","126.9852883"
"286","11110179","홍파동","Hongpa-dong","37.5711594","126.9641517"
